	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
748	production, manufacture	せいぞう	This factory manufactures air conditioning units.	この こうじょう で は えあこん を <b>せいぞう</b> して います	0	0
749	without fail, certainly	かならず	Always wear your seat belt.	<b>かならず</b> しーとべると を つけて ください	0	0
750	present, gift	プレゼント	I got some presents on my birthday.	たんじょうび に <b>ぷれぜんと</b> を もらいました	0	0
751	need, necessity	ひつよう	I need a lot of money.	わたし に は たくさん の おかね が <b>ひつよう</b> だ	0	0
752	important, essential	じゅうよう	This is an important document.	これ は <b>じゅうよう</b> な しょるい です	0	0
753	requirement, demand	ようきゅう	He answered my demands.	かれ は わたし の <b>ようきゅう</b> に こたえた	0	0
754	alarm clock	めざましどけい	The alarm clock went off at seven o'clock.	しちじ に <b>めざましどけい</b> が なりました	0	0
755	always, at all times	いつでも	Please come to my house any time.	<b>いつでも</b> うち に きて ください	0	0
756	calculation	けいさん	That calculation is wrong.	その <b>けいさん</b> は まちがって いる	0	0
757	subtraction	ひきざん	My daughter's learning subtraction at school.	むすめ は がっこう で <b>ひきざん</b> を ならって いる	0	0
758	addition	たしざん	My daughter learned addition in school.	むすめ は がっこう で <b>たしざん</b> を ならった	0	0
759	crossing, intersection	こうさてん	Please turn left at the next intersection.	つぎ の <b>こうさてん</b> を ひだり に まがって ください	0	0
760	tennis	テニス	They often play tennis.	かれら は よく <b>てにす</b> を して います	0	0
761	divide, crack, split	わる	I dropped the plate and broke it.	さら を おとして <b>わった</b>	0	0
762	crack, be divided, split	われる	The glass fell and broke.	こっぷ が おちて <b>われた</b>	0	0
763	division	わりざん	Division is learned in elementary school.	<b>わりざん</b> は しょうがっこう で ならいます	0	0
764	remain, be left over	のこる	A lot of food was left over.	りょうり が たくさん <b>のこりました</b>	0	0
765	here, this way	こちら	The reception desk is this way.	うけつけ は <b>こちら</b> です	0	0
766	leave, reserve, leave undone	のこす	She left a message.	かのじょ は めっせーじ を <b>のこしました</b>	0	0
767	side, vicinity@buckwheat noodles, soba	そば	Stay with me.@I ate buckwheat noodles for lunch.	<b>そば</b> に いて ください@おひる に <b>そば</b> を たべた	0	0
768	answer, reply	へんじ	I sent a reply to the letter.	てがみ の <b>へんじ</b> を だしました	0	0
769	borrow	かりる	I borrowed a video from him.	かれ に びでお を <b>かりました</b>	0	0
770	button	ボタン	Please press the button.	<b>ぼたん</b> を おして ください	0	0
771	lend, lease	かす	I'm lending him the book.	わたし は かれ に ほん を <b>かして います</b>	0	0
772	lend, lend out	かしだす	That book is currently on loan.	その ほん は <b>かしだし</b>ちゅう です	0	0
773	apply, make a proposal	もうしこむ	She registered for that workshop.	かのじょ は その せみなー に <b>もうしこんだ</b>	0	0
774	offer, give@send	おくる	I sent my mother some flowers.@I sent a package to his house.	はは に はな を <b>おくった</b>@かれ の いえ に にもつ を <b>おくりました</b>	0	0
775	be limited to	かぎる	This service is limited to weekends.	この さーびす は しゅうまつ に <b>かぎります</b>	0	0
776	hurry, hasten	いそぐ	We hurried to the station.	わたしたち は えき へ <b>いそぎました</b>	0	0
777	suddenly, unexpectedly	きゅうに	I suddenly remembered I have something to do.	<b>きゅうに</b> ようじ を おもいだした	0	0
778	sun, sunlight, day@fire	ひ	The days are long in summer.@Put the fire out.	なつ は <b>ひ</b> が ながい@<b>ひ</b> を けして	0	0
779	run out, expire, can cut	きれる	These scissors cut well.	この はさみ は よく <b>きれます</b> ね	0	0
780	drama, theater, soap opera	ドラマ	I like to watch TV dramas.	わたし は <b>どらま</b> を みる の が すき です	0	0
781	postage stamp	きって	I bought a stamp at the post office.	ゆうびんきょく で <b>きって</b> を かいました	0	0
782	be sold out, go out of stock	うりきれる	The book sold out quickly.	その ほん は すぐ <b>うりきれた</b>	0	0
783	sellout, sold out	うりきれ	The tickets have sold out already.	ちけっと は もう <b>うりきれ</b> だって	0	0
784	important, valuable	たいせつ	This is a ring that meant a lot to my mother.	これ は はは が <b>たいせつ</b> に して いた ゆびわ です	0	0
785	visa	ビザ	He has a student visa.	がくせい <b>びざ</b> を もって います	0	0
786	ticket	きっぷ	I bought a ticket to Tokyo.	とうきょう まで の <b>きっぷ</b> を かった	0	0
787	entrance ticket	にゅうじょうけん	The admission ticket is 3,000 yen.	<b>にゅうじょうけん</b> は さんぜんえん です	0	0
788	superiors, people in authority@god, spirit@paper@hair, hairstyle	かみ	What is the government planning on?@He believes in God.@Do you have paper and pencil?@I had my hair cut yesterday.	お<b>かみ</b> は なに を かんがえて る ん だろう ね@かれ は <b>かみ</b> を しんじて いる@<b>かみ</b> と えんぴつ は あります か@きのう <b>かみ</b> を きりました	0	0
789	die, pass away@disappear, run short, get lost	なくなる	An old friend died the day before yesterday.@I've run out of money already.	おととい むかし の ゆうじん が <b>なくなった</b>@もう おかね が <b>なくなりました</b>	0	0
790	rent	やちん	The rent here is 120,000 yen.	ここ の <b>やちん</b> は じゅうにまんえん です	0	0
791	age, antiquity	じだい	This is the age of convenience and speed.	いま は べんりさ と すぴーど の <b>じだい</b> だ	0	0
792	pocket	ポケット	I put my wallet in my pocket.	さいふ を <b>ぽけっと</b> に しまった	0	0
793	finger, toe	ゆび	His fingers are fat.	かれ は <b>ゆび</b> が ふとい	0	0
794	decision, settlement	けってい	An important decision was made at the conference.	かいぎ で じゅうよう な <b>けってい</b> が ありました	0	0
795	soon, quietly	そろそろ	It's about time to begin.	<b>そろそろ</b> はじめましょう か	0	0
796	constant, standard	いってい	You need certain qualifications to apply.	もうしこむ に は <b>いってい</b> の しかく が いる	0	0
797	commuter's pass	ていきけん	The commuter pass was 1,2000 yen.	<b>ていきけん</b> は いちまんにせんえん でした	0	0
798	substitute, be substituted for@change	かわる	I attended the conference in place of my boss.@The traffic light turned green.	じょうし に <b>かわって</b> かいぎ に でた@しんごう が あお に <b>かわりました</b>。	0	0
799	schedule, plan	よてい	Please tell me what your schedule is for today.	きょう の <b>よてい</b> を おしえて ください	0	0
800	evil, badness@become available or vacant@open	あく	He hates evil.@The rear seat is empty.@The train door opened.	かれ は <b>あく</b> を にくんで います@うしろ の せき が <b>あいて います</b>@でんしゃ の どあ が <b>あきました</b>	0	0
801	weather forecast	てんきよほう	Rain is forecast for tomorrow.	あした の <b>てんきよほう</b> は あめ です	0	0
802	grapes	ぶどう	I like grapes.	わたし は <b>ぶどう</b> が すき です	0	0
803	preparation, previewing (a lesson)	よしゅう	Let's prepare for tomorrow.	あした の <b>よしゅう</b> を しましょう	0	0
804	reservation, subscription	よやく	I made a reservation at the restaurant.	れすとらん を <b>よやく</b> しました	0	0
805	promise, vow	やくそく	I keep my promises.	<b>やくそく</b> は まもります	0	0
806	rarely	めったに	She rarely gets angry.	かのじょ は <b>めったに</b> おこりません 。	0	0
807	awful, serious	たいへん	A terrible thing happened.	<b>たいへん</b> な こと が おこりました	0	0
808	change	へんか	There was a lot of change this year.	ことし は <b>へんか</b> の おおい とし でした	0	0
809	strengthening	きょうか	Our government is strengthening its program in native language education.	くに は こくご きょういく を <b>きょうか</b> して います	0	0
810	Christmas	クリスマス	We eat cake at Christmas.	<b>くりすます</b> に は けーき を たべます	0	0
811	culture	ぶんか	I'm studying this country's culture.	わたし は この くに の <b>ぶんか</b> を べんきょう して います	0	0
812	increase, accrue	ふえる	The population has increased in this town.	この まち は じんこう が <b>ふえた</b>	0	0
813	get angry, scold@happen	おこる	He was angry because she lied to him.@There was a major incident in town.	かのじょ が うそ を ついた の で かれ は <b>おこった</b>@まち で だいじけん が <b>おこりました</b>	0	0
814	increase, add	ふやす	That town is increasing its greenery.	あの まち は みどり を <b>ふやして います</b>	0	0
815	tie, necktie	ネクタイ	I gave him a tie on Father's Day.	ちちのひ に <b>ねくたい</b> を ぷれぜんと した	0	0
816	decrease, reduce	へらす	I've been eating less recently.	さいきん しょくじ を <b>へらして います</b>	0	0
